system:index,AFG,BGR,LTR,PFG,SHR,TRE,latitude,longitude
0,2,44,18,12,18,0,32.63565952,-106.8469225
1,2,44,18,13,18,0,32.63565952,-106.846653
2,2,45,18,13,18,0,32.63565952,-106.8463835
3,1,46,18,12,18,0,32.63565952,-106.846114
4,1,46,19,12,17,0,32.63565952,-106.8458445
5,2,48,18,9,19,0,32.63565952,-106.845575
6,1,49,18,7,20,0,32.63565952,-106.8453055
7,1,50,17,6,21,0,32.63565952,-106.845036
8,1,50,17,6,21,0,32.63565952,-106.8447665
9,1,50,17,7,20,0,32.63565952,-106.844497
10,1,50,18,8,19,0,32.63565952,-106.8442275
11,1,49,18,10,18,0,32.63565952,-106.843958
12,1,48,19,10,18,0,32.63565952,-106.8436885
13,1,49,18,8,19,0,32.63565952,-106.843419
14,1,49,18,8,20,0,32.63565952,-106.8431495
15,1,48,18,9,20,0,32.63565952,-106.84288
16,1,47,18,10,20,0,32.63565952,-106.8426105
17,1,48,18,9,20,0,32.63565952,-106.842341
18,1,50,17,4,21,0,32.63565952,-106.8420715
19,1,52,16,4,20,0,32.63565952,-106.8418021
20,1,51,16,4,20,0,32.63565952,-106.8415326
21,2,51,16,5,20,0,32.63565952,-106.8412631
22,1,52,16,7,18,0,32.63565952,-106.8409936
23,1,54,15,6,19,0,32.63565952,-106.8407241
24,1,55,14,6,19,0,32.63565952,-106.8404546
25,1,57,13,4,20,0,32.63565952,-106.8401851
26,2,54,13,3,22,0,32.63565952,-106.8399156
27,2,52,14,4,22,0,32.63565952,-106.8396461
28,2,52,14,5,21,0,32.63565952,-106.8393766
29,2,51,14,5,21,0,32.63565952,-106.8391071
30,2,48,17,6,19,0,32.63539003,-106.8498869
31,2,48,17,6,19,0,32.63539003,-106.8496174
32,2,49,16,5,20,0,32.63539003,-106.8493479
33,2,47,17,7,19,0,32.63539003,-106.8490784
34,2,47,17,7,20,0,32.63539003,-106.8488089
35,1,48,17,7,19,0,32.63539003,-106.8485394
36,1,49,18,8,18,0,32.63539003,-106.8482699
37,1,48,18,9,17,0,32.63539003,-106.8480004
38,1,46,18,10,18,0,32.63539003,-106.8477309
39,2,46,17,9,19,0,32.63539003,-106.8474614
40,2,44,17,9,20,0,32.63539003,-106.8471919
41,2,43,18,11,18,0,32.63539003,-106.8469225
42,2,44,18,12,18,0,32.63539003,-106.846653
43,2,45,18,10,18,0,32.63539003,-106.8463835
44,1,46,18,10,19,0,32.63539003,-106.846114
45,1,45,19,12,17,0,32.63539003,-106.8458445
46,1,47,19,10,18,0,32.63539003,-106.845575
47,1,48,18,9,19,0,32.63539003,-106.8453055
48,1,49,18,8,20,0,32.63539003,-106.845036
49,1,49,18,9,20,0,32.63539003,-106.8447665
50,1,48,18,10,19,0,32.63539003,-106.844497
51,1,48,19,10,19,0,32.63539003,-106.8442275
52,1,49,18,9,18,0,32.63539003,-106.843958
53,1,47,18,11,18,0,32.63539003,-106.8436885
54,1,48,18,9,19,0,32.63539003,-106.843419
55,1,48,18,8,20,0,32.63539003,-106.8431495
56,1,47,18,10,19,0,32.63539003,-106.84288
57,1,47,18,11,19,0,32.63539003,-106.8426105
58,1,48,18,8,20,0,32.63539003,-106.842341
59,1,51,17,3,21,0,32.63539003,-106.8420715
60,1,52,16,2,21,0,32.63539003,-106.8418021
61,1,51,16,3,22,0,32.63539003,-106.8415326
62,2,50,16,4,22,0,32.63539003,-106.8412631
63,1,52,15,5,21,0,32.63539003,-106.8409936
64,1,54,14,4,20,0,32.63539003,-106.8407241
65,1,57,13,3,21,0,32.63539003,-106.8404546
66,2,56,13,3,21,0,32.63539003,-106.8401851
67,2,50,14,4,22,0,32.63539003,-106.8399156
68,3,48,15,6,22,0,32.63539003,-106.8396461
69,2,51,15,6,20,0,32.63539003,-106.8393766
70,2,52,14,6,20,0,32.63539003,-106.8391071
71,1,50,15,7,20,0,32.63539003,-106.8388376
72,2,48,16,9,20,0,32.63539003,-106.8385681
73,2,48,15,9,20,0,32.63539003,-106.8382986
74,2,49,15,8,20,0,32.63539003,-106.8380291
75,2,50,14,7,20,0,32.63539003,-106.8377596
76,2,49,14,7,20,0,32.63539003,-106.8374901
77,2,50,15,6,21,0,32.63539003,-106.8372206
78,2,51,14,6,21,0,32.63539003,-106.8369512
79,2,50,15,6,21,0,32.63539003,-106.8366817
80,2,49,16,7,21,0,32.63539003,-106.8364122
81,2,48,16,8,22,0,32.63539003,-106.8361427
82,2,48,17,9,21,0,32.63539003,-106.8358732
83,2,48,15,5,21,0,32.63512054,-106.8515039
84,2,48,16,5,21,0,32.63512054,-106.8512344
85,2,48,16,5,22,0,32.63512054,-106.8509649
86,2,49,16,4,22,0,32.63512054,-106.8506954
87,2,50,16,4,22,0,32.63512054,-106.8504259
88,2,50,16,4,22,0,32.63512054,-106.8501564
89,2,51,16,4,21,0,32.63512054,-106.8498869
90,2,51,16,5,19,0,32.63512054,-106.8496174
91,2,51,16,5,20,0,32.63512054,-106.8493479
92,2,50,16,6,19,0,32.63512054,-106.8490784
93,2,48,16,6,21,0,32.63512054,-106.8488089
94,1,49,16,6,20,0,32.63512054,-106.8485394
95,1,48,17,7,18,0,32.63512054,-106.8482699
96,1,46,19,11,16,0,32.63512054,-106.8480004
97,2,45,19,13,16,0,32.63512054,-106.8477309
98,1,46,17,10,18,0,32.63512054,-106.8474614
99,2,47,16,7,19,0,32.63512054,-106.8471919
100,2,47,16,6,19,0,32.63512054,-106.8469225
101,2,47,17,7,19,0,32.63512054,-106.846653
102,2,47,18,7,19,0,32.63512054,-106.8463835
103,1,47,18,8,19,0,32.63512054,-106.846114
104,1,47,19,10,17,0,32.63512054,-106.8458445
105,1,47,19,9,18,0,32.63512054,-106.845575
106,1,49,18,7,19,0,32.63512054,-106.8453055
107,1,50,18,7,19,0,32.63512054,-106.845036
108,1,50,18,8,20,0,32.63512054,-106.8447665
109,1,48,18,9,20,0,32.63512054,-106.844497
110,1,48,18,8,20,0,32.63512054,-106.8442275
111,1,48,18,8,20,0,32.63512054,-106.843958
112,1,46,17,10,20,0,32.63512054,-106.8436885
113,1,47,17,9,20,0,32.63512054,-106.843419
114,1,47,17,8,21,0,32.63512054,-106.8431495
115,1,47,17,8,20,0,32.63512054,-106.84288
116,1,48,18,8,20,0,32.63512054,-106.8426105
117,1,49,18,5,21,0,32.63512054,-106.842341
118,1,52,16,2,21,0,32.63512054,-106.8420715
119,1,52,16,3,21,0,32.63512054,-106.8418021
120,1,51,16,4,21,0,32.63512054,-106.8415326
121,1,51,15,5,21,0,32.63512054,-106.8412631
122,2,52,15,5,22,0,32.63512054,-106.8409936
123,1,54,14,3,23,0,32.63512054,-106.8407241
124,2,53,14,4,22,0,32.63512054,-106.8404546
125,2,49,16,6,23,0,32.63512054,-106.8401851
126,3,44,17,10,23,0,32.63512054,-106.8399156
127,3,44,17,10,22,1,32.63512054,-106.8396461
128,2,49,15,7,20,0,32.63512054,-106.8393766
129,2,49,15,8,20,0,32.63512054,-106.8391071
130,2,50,15,6,20,0,32.63512054,-106.8388376
131,2,49,15,8,20,0,32.63512054,-106.8385681
132,2,47,16,10,20,0,32.63512054,-106.8382986
133,2,47,16,11,19,0,32.63512054,-106.8380291
134,2,47,16,11,19,0,32.63512054,-106.8377596
135,2,48,16,10,19,0,32.63512054,-106.8374901
136,2,48,16,9,19,0,32.63512054,-106.8372206
137,3,49,15,8,20,0,32.63512054,-106.8369512
138,3,48,16,9,20,0,32.63512054,-106.8366817
139,3,45,17,10,21,0,32.63512054,-106.8364122
140,4,39,17,13,22,1,32.63512054,-106.8361427
141,4,37,17,17,22,1,32.63512054,-106.8358732
142,3,38,17,16,20,1,32.63512054,-106.8356037
143,3,41,17,14,20,1,32.63512054,-106.8353342
144,2,43,17,14,19,1,32.63512054,-106.8350647
145,2,42,17,13,20,1,32.63512054,-106.8347952
146,2,41,17,15,19,1,32.63512054,-106.8345257
147,3,40,18,18,17,1,32.63512054,-106.8342562
148,3,39,19,17,17,1,32.63512054,-106.8339867
149,2,47,15,5,23,0,32.63485104,-106.8533903
150,2,48,15,5,23,0,32.63485104,-106.8531208
151,2,47,15,4,23,0,32.63485104,-106.8528513
152,2,49,15,4,22,0,32.63485104,-106.8525818
153,2,48,15,5,21,0,32.63485104,-106.8523123
154,2,48,15,5,21,0,32.63485104,-106.8520428
155,2,48,15,5,22,0,32.63485104,-106.8517734
156,2,48,15,5,22,0,32.63485104,-106.8515039
157,2,48,15,5,21,0,32.63485104,-106.8512344
158,2,48,15,5,22,0,32.63485104,-106.8509649
159,2,48,15,4,22,0,32.63485104,-106.8506954
160,2,48,15,4,22,0,32.63485104,-106.8504259
161,2,49,15,4,22,0,32.63485104,-106.8501564
162,2,49,16,4,22,0,32.63485104,-106.8498869
163,2,50,16,5,20,0,32.63485104,-106.8496174
164,2,48,16,6,21,0,32.63485104,-106.8493479
165,2,47,17,7,20,0,32.63485104,-106.8490784
166,2,47,17,7,20,0,32.63485104,-106.8488089
167,1,47,17,8,20,0,32.63485104,-106.8485394
168,1,47,18,10,18,0,32.63485104,-106.8482699
169,2,45,19,13,16,0,32.63485104,-106.8480004
170,2,44,19,14,16,0,32.63485104,-106.8477309
171,2,45,19,13,17,0,32.63485104,-106.8474614
172,2,47,16,7,20,0,32.63485104,-106.8471919
173,2,52,15,4,20,0,32.63485104,-106.8469225
174,2,49,16,4,20,0,32.63485104,-106.846653
175,2,48,18,7,19,0,32.63485104,-106.8463835
176,1,48,18,7,18,0,32.63485104,-106.846114
177,1,49,19,9,17,0,32.63485104,-106.8458445
178,1,48,19,7,19,0,32.63485104,-106.845575
179,1,49,18,6,19,0,32.63485104,-106.8453055
180,1,50,18,6,20,0,32.63485104,-106.845036
181,1,49,18,6,20,0,32.63485104,-106.8447665
182,1,49,17,7,20,0,32.63485104,-106.844497
183,1,47,17,7,21,0,32.63485104,-106.8442275
184,1,46,18,9,21,0,32.63485104,-106.843958
185,1,45,17,9,21,0,32.63485104,-106.8436885
186,1,45,17,8,21,0,32.63485104,-106.843419
187,1,45,17,8,21,0,32.63485104,-106.8431495
188,1,46,17,7,21,0,32.63485104,-106.84288
189,1,47,17,5,22,0,32.63485104,-106.8426105
190,1,49,17,3,21,0,32.63485104,-106.842341
191,1,51,16,2,22,0,32.63485104,-106.8420715
192,2,50,16,4,20,0,32.63485104,-106.8418021
193,2,49,17,7,19,0,32.63485104,-106.8415326
194,1,49,16,7,21,0,32.63485104,-106.8412631
195,1,53,15,3,23,0,32.63485104,-106.8409936
196,2,52,14,2,24,0,32.63485104,-106.8407241
197,3,45,16,9,23,0,32.63485104,-106.8404546
198,4,38,18,17,22,0,32.63485104,-106.8401851
199,5,32,17,21,23,1,32.63485104,-106.8399156
200,4,36,17,15,23,1,32.63485104,-106.8396461
201,2,47,16,8,21,0,32.63485104,-106.8393766
202,2,49,15,8,20,0,32.63485104,-106.8391071
203,2,49,15,8,20,0,32.63485104,-106.8388376
204,2,49,15,7,21,0,32.63485104,-106.8385681
205,2,49,15,8,21,0,32.63485104,-106.8382986
206,2,49,16,9,20,0,32.63485104,-106.8380291
207,2,48,16,9,19,0,32.63485104,-106.8377596
208,2,48,17,9,19,0,32.63485104,-106.8374901
209,2,47,16,9,19,0,32.63485104,-106.8372206
210,2,48,16,9,19,0,32.63485104,-106.8369512
211,3,45,16,10,20,1,32.63485104,-106.8366817
212,3,42,17,11,20,1,32.63485104,-106.8364122
213,4,39,18,14,20,1,32.63485104,-106.8361427
214,4,37,18,17,19,1,32.63485104,-106.8358732
215,4,32,17,21,20,1,32.63485104,-106.8356037
216,4,37,17,17,19,1,32.63485104,-106.8353342
217,3,41,16,13,19,1,32.63485104,-106.8350647
218,3,43,16,13,19,1,32.63485104,-106.8347952
219,3,41,17,14,18,1,32.63485104,-106.8345257
220,3,38,18,18,16,1,32.63485104,-106.8342562
221,3,38,18,17,17,1,32.63485104,-106.8339867
222,2,42,16,12,20,1,32.63485104,-106.8337172
223,2,44,16,10,20,0,32.63485104,-106.8334477
224,2,42,16,11,20,1,32.63485104,-106.8331782
225,3,39,16,14,20,1,32.63485104,-106.8329087
226,3,37,16,15,20,1,32.63485104,-106.8326392
227,3,37,16,17,18,0,32.63485104,-106.8323697
228,2,38,16,16,19,1,32.63485104,-106.8321002
229,3,43,19,14,17,0,32.63458155,-106.8547378
230,2,44,18,11,20,0,32.63458155,-106.8544683
231,2,45,17,8,22,0,32.63458155,-106.8541988
232,2,45,16,5,24,0,32.63458155,-106.8539293
233,2,47,16,4,23,0,32.63458155,-106.8536598
234,2,47,16,5,23,0,32.63458155,-106.8533903
235,2,47,15,4,24,0,32.63458155,-106.8531208
236,2,48,15,4,23,0,32.63458155,-106.8528513
237,2,50,15,5,21,0,32.63458155,-106.8525818
238,2,48,15,5,21,0,32.63458155,-106.8523123
239,2,47,16,6,20,0,32.63458155,-106.8520428
240,2,47,16,6,21,0,32.63458155,-106.8517734
241,2,47,15,5,21,0,32.63458155,-106.8515039
242,1,49,15,5,21,0,32.63458155,-106.8512344
243,1,49,15,5,22,0,32.63458155,-106.8509649
244,1,49,14,4,22,0,32.63458155,-106.8506954
245,2,47,15,5,22,0,32.63458155,-106.8504259
246,2,46,16,5,22,0,32.63458155,-106.8501564
247,2,47,17,6,21,0,32.63458155,-106.8498869
248,2,47,17,7,20,0,32.63458155,-106.8496174
249,2,46,17,7,21,0,32.63458155,-106.8493479
250,2,46,17,9,19,0,32.63458155,-106.8490784
251,2,45,17,9,19,0,32.63458155,-106.8488089
252,2,47,17,8,19,0,32.63458155,-106.8485394
253,2,47,17,8,19,0,32.63458155,-106.8482699
254,2,46,18,9,19,0,32.63458155,-106.8480004
255,2,46,19,10,18,0,32.63458155,-106.8477309
256,2,46,19,10,18,0,32.63458155,-106.8474614
257,2,46,17,8,20,0,32.63458155,-106.8471919
258,2,48,16,5,21,0,32.63458155,-106.8469225
259,1,49,17,5,20,0,32.63458155,-106.846653
260,1,48,18,8,19,0,32.63458155,-106.8463835
261,1,48,19,8,18,0,32.63458155,-106.846114
262,2,47,20,10,18,0,32.63458155,-106.8458445
263,1,47,19,9,18,0,32.63458155,-106.845575
264,1,47,18,8,20,0,32.63458155,-106.8453055
265,1,47,18,7,21,0,32.63458155,-106.845036
266,1,47,18,7,21,0,32.63458155,-106.8447665
267,1,47,18,8,20,0,32.63458155,-106.844497
268,1,46,17,8,20,0,32.63458155,-106.8442275
269,1,45,18,10,20,0,32.63458155,-106.843958
270,1,44,18,10,20,0,32.63458155,-106.8436885
271,1,44,17,10,20,0,32.63458155,-106.843419
272,1,44,18,10,20,0,32.63458155,-106.8431495
273,1,45,18,9,20,0,32.63458155,-106.84288
274,1,47,18,5,21,0,32.63458155,-106.8426105
275,1,50,16,3,22,0,32.63458155,-106.842341
276,1,51,16,2,22,0,32.63458155,-106.8420715
277,2,49,16,4,22,0,32.63458155,-106.8418021
278,2,48,17,6,21,0,32.63458155,-106.8415326
279,1,48,17,7,21,0,32.63458155,-106.8412631
280,1,51,16,4,24,0,32.63458155,-106.8409936
281,3,46,17,6,23,0,32.63458155,-106.8407241
282,3,42,18,12,22,1,32.63458155,-106.8404546
283,4,36,18,16,24,1,32.63458155,-106.8401851
284,4,37,17,14,24,1,32.63458155,-106.8399156
285,4,44,16,9,22,1,32.63458155,-106.8396461
286,3,51,14,5,21,0,32.63458155,-106.8393766
287,1,51,15,7,20,0,32.63458155,-106.8391071
288,2,49,15,7,20,0,32.63458155,-106.8388376
289,2,48,16,7,21,0,32.63458155,-106.8385681
290,2,48,16,8,21,0,32.63458155,-106.8382986
291,2,48,16,8,21,0,32.63458155,-106.8380291
292,2,48,16,8,21,0,32.63458155,-106.8377596
293,2,50,16,7,21,0,32.63458155,-106.8374901
294,2,50,16,7,20,0,32.63458155,-106.8372206
295,2,48,17,10,19,0,32.63458155,-106.8369512
296,2,45,18,11,19,0,32.63458155,-106.8366817
297,3,44,18,12,19,1,32.63458155,-106.8364122
298,3,42,18,13,19,1,32.63458155,-106.8361427
299,4,39,18,16,18,1,32.63458155,-106.8358732
300,4,32,17,19,18,1,32.63458155,-106.8356037
301,4,36,17,16,20,1,32.63458155,-106.8353342
302,3,42,16,12,21,1,32.63458155,-106.8350647
303,3,44,16,10,20,1,32.63458155,-106.8347952
304,2,44,16,11,20,1,32.63458155,-106.8345257
305,3,41,17,14,18,1,32.63458155,-106.8342562
306,2,42,17,14,17,1,32.63458155,-106.8339867
307,2,44,16,11,20,0,32.63458155,-106.8337172
308,2,44,16,11,20,0,32.63458155,-106.8334477
309,3,41,16,13,20,1,32.63458155,-106.8331782
310,3,38,16,15,19,1,32.63458155,-106.8329087
311,2,38,16,15,19,1,32.63458155,-106.8326392
312,2,36,16,18,18,0,32.63458155,-106.8323697
313,2,35,16,17,18,1,32.63458155,-106.8321002
314,2,39,16,14,20,1,32.63458155,-106.8318308
315,2,41,16,12,21,1,32.63458155,-106.8315613
316,2,41,16,12,21,1,32.63458155,-106.8312918
317,2,40,16,14,21,1,32.63458155,-106.8310223
318,2,41,16,15,19,1,32.63458155,-106.8307528
