system:index,AFG,BGR,LTR,PFG,SHR,TRE,Total,latitude,longitude
0,14,34,13,15,11,2,89,38.29073390135882,-109.3693918
1,12,37,13,13,11,3,89,38.29073390135882,-109.3691223
2,12,36,13,14,11,3,89,38.29073390135882,-109.3688528
3,11,34,13,15,12,2,87,38.29046440677358,-109.3693918
4,10,36,13,15,12,3,89,38.29046440677358,-109.3691223
5,10,36,13,13,11,4,87,38.29046440677358,-109.3688528
6,10,37,12,11,11,4,85,38.29046440677358,-109.3685833
7,9,37,12,11,12,4,85,38.29046440677358,-109.3683138
8,12,35,13,14,13,2,89,38.29046440677358,-109.3680443
9,14,35,13,14,10,2,88,38.29019491218835,-109.3693918
10,13,36,13,13,10,3,88,38.29019491218835,-109.3691223
11,13,36,13,13,9,4,88,38.29019491218835,-109.3688528
12,12,37,13,12,9,4,87,38.29019491218835,-109.3685833
13,10,38,12,10,10,5,85,38.29019491218835,-109.3683138
14,13,36,13,12,10,5,89,38.29019491218835,-109.3680443
15,13,33,13,16,11,3,89,38.29019491218835,-109.3677748
16,14,33,13,17,11,2,90,38.29019491218835,-109.3675053
17,14,31,13,18,11,2,89,38.29019491218835,-109.3672358
18,20,33,14,14,9,1,91,38.28992541760311,-109.3693918
19,18,34,14,13,8,2,89,38.28992541760311,-109.3691223
20,17,34,14,14,9,2,90,38.28992541760311,-109.3688528
21,17,33,13,14,9,2,88,38.28992541760311,-109.3685833
22,17,33,13,13,10,3,89,38.28992541760311,-109.3683138
23,18,31,13,16,9,2,89,38.28992541760311,-109.3680443
24,16,31,13,17,10,3,90,38.28992541760311,-109.3677748
25,14,33,13,16,11,3,90,38.28992541760311,-109.3675053
26,13,34,13,16,11,2,89,38.28992541760311,-109.3672358
27,12,33,13,18,12,2,90,38.28992541760311,-109.3669663
28,12,32,13,17,12,3,89,38.28992541760311,-109.3666968
29,15,30,13,16,11,3,88,38.28992541760311,-109.3664273
30,14,29,13,15,10,5,86,38.28992541760311,-109.3661578
31,32,24,14,16,6,1,93,38.289655923017875,-109.3693918
32,22,30,14,15,9,2,92,38.289655923017875,-109.3691223
33,16,33,13,13,9,3,87,38.289655923017875,-109.3688528
34,13,35,13,13,10,3,87,38.289655923017875,-109.3685833
35,16,34,13,13,10,2,88,38.289655923017875,-109.3683138
36,20,32,13,15,9,2,91,38.289655923017875,-109.3680443
37,16,33,13,15,10,3,90,38.289655923017875,-109.3677748
38,14,35,13,14,9,4,89,38.289655923017875,-109.3675053
39,13,36,13,13,10,4,89,38.289655923017875,-109.3672358
40,12,36,13,12,10,5,88,38.289655923017875,-109.3669663
41,12,34,13,14,11,4,88,38.289655923017875,-109.3666968
42,15,27,13,19,10,2,86,38.289655923017875,-109.3664273
43,19,23,12,25,10,1,90,38.289655923017875,-109.3661578
44,23,22,12,26,8,0,91,38.289655923017875,-109.3658883
45,21,24,12,24,8,1,90,38.289655923017875,-109.3656188
46,19,28,13,19,8,2,89,38.289655923017875,-109.3653493
47,48,16,9,12,1,0,86,38.289386428432636,-109.3693918
48,40,22,11,16,5,1,95,38.289386428432636,-109.3691223
49,29,27,12,14,8,1,91,38.289386428432636,-109.3688528
50,19,31,13,12,9,3,87,38.289386428432636,-109.3685833
51,14,36,13,12,10,4,89,38.289386428432636,-109.3683138
52,15,36,14,12,9,3,89,38.289386428432636,-109.3680443
53,19,33,13,13,9,2,89,38.289386428432636,-109.3677748
54,16,34,13,14,10,3,90,38.289386428432636,-109.3675053
55,14,35,13,13,10,4,89,38.289386428432636,-109.3672358
56,14,36,13,11,9,5,88,38.289386428432636,-109.3669663
57,15,33,13,11,9,5,86,38.289386428432636,-109.3666968
58,18,29,13,13,9,4,86,38.289386428432636,-109.3664273
59,22,24,12,22,9,0,89,38.289386428432636,-109.3661578
60,27,21,12,28,6,0,94,38.289386428432636,-109.3658883
61,28,20,11,29,5,0,93,38.289386428432636,-109.3656188
62,25,24,13,26,4,1,93,38.289386428432636,-109.3653493
63,20,29,13,18,7,2,89,38.289386428432636,-109.3650799
64,15,33,13,13,7,5,86,38.289386428432636,-109.3648104
65,48,17,12,14,3,1,95,38.28911693,-109.3693918
66,52,16,10,10,4,1,93,38.28911693,-109.3691223
67,49,17,11,11,5,1,94,38.28911693,-109.3688528
68,35,23,12,12,7,1,90,38.28911693,-109.3685833
69,24,29,12,12,9,2,88,38.28911693,-109.3683138
70,19,33,13,12,10,2,89,38.28911693,-109.3680443
71,21,31,13,12,9,3,89,38.28911693,-109.3677748
72,18,32,13,13,9,3,88,38.28911693,-109.3675053
73,15,35,13,13,9,4,89,38.28911693,-109.3672358
74,13,36,13,12,10,5,89,38.28911693,-109.3669663
75,15,34,13,12,9,5,88,38.28911693,-109.3666968
76,16,33,13,12,9,5,88,38.28911693,-109.3664273
77,17,29,13,14,9,3,85,38.28911693,-109.3661578
78,21,26,12,21,7,1,88,38.28911693,-109.3658883
79,26,21,11,28,5,0,91,38.28911693,-109.3656188
80,27,23,12,26,4,1,93,38.28911693,-109.3653493
81,23,28,12,19,6,1,89,38.28911693,-109.3650799
82,18,33,13,13,6,4,87,38.28911693,-109.3648104
83,11,34,13,12,8,6,84,38.28911693,-109.3645409
84,8,33,13,13,12,7,86,38.28911693,-109.3642714
85,5,32,14,10,15,9,85,38.28911693,-109.3640019
86,23,28,13,14,9,3,90,38.28884743926217,-109.3693918
87,34,21,13,16,6,2,92,38.28884743926217,-109.3691223
88,41,18,12,12,5,3,91,38.28884743926217,-109.3688528
89,44,17,11,13,5,2,92,38.28884743926217,-109.3685833
90,42,18,12,14,5,2,93,38.28884743926217,-109.3683138
91,37,20,13,12,5,3,90,38.28884743926217,-109.3680443
92,37,21,13,11,5,3,90,38.28884743926217,-109.3677748
93,29,26,13,12,6,3,89,38.28884743926217,-109.3675053
94,18,32,13,12,8,4,87,38.28884743926217,-109.3672358
95,14,34,13,12,10,4,87,38.28884743926217,-109.3669663
96,15,34,13,13,10,4,89,38.28884743926217,-109.3666968
97,15,34,13,12,9,5,88,38.28884743926217,-109.3664273
98,17,31,13,14,9,4,88,38.28884743926217,-109.3661578
99,20,28,12,19,9,1,89,38.28884743926217,-109.3658883
100,25,27,12,19,8,1,92,38.28884743926217,-109.3656188
101,29,26,12,18,6,0,91,38.28884743926217,-109.3653493
102,24,30,12,17,5,1,89,38.28884743926217,-109.3650799
103,19,32,12,15,6,3,87,38.28884743926217,-109.3648104
104,13,32,13,16,9,4,87,38.28884743926217,-109.3645409
105,9,30,13,18,13,4,87,38.28884743926217,-109.3642714
106,6,31,13,13,16,6,85,38.28884743926217,-109.3640019
107,5,32,14,11,16,8,86,38.28884743926217,-109.3637324
108,5,32,14,10,15,9,85,38.28884743926217,-109.3634629
109,5,30,15,11,14,11,86,38.28884743926217,-109.3631934
110,14,36,13,11,12,4,90,38.28857794467693,-109.3693918
111,26,28,13,14,8,2,91,38.28857794467693,-109.3691223
112,42,21,12,11,5,2,93,38.28857794467693,-109.3688528
113,48,19,11,8,5,3,94,38.28857794467693,-109.3685833
114,43,18,12,10,6,3,92,38.28857794467693,-109.3683138
115,38,18,13,14,6,3,92,38.28857794467693,-109.3680443
